TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,WD,USTAR,RH,NETRAD,PPFD_IN,PPFD_OUT,SW_OUT,LW_OUT,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NIGHT,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2.00312E+11,2.00312E+11,5.693,1,0,0,0,284.16,1,1.927,1,101.688,2,0,2,1.22,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.179,1,33.629,1,-43.119,1,8.90909,2,9.98898,7.66858,12.9394,6.93336,-7.90283,1,-8.71338,-11.4779,-6.80244,9.96866,1,0.0334,2,0.232229,0.0191471,0.0334,0.0814,2,2,2,0.329407,0.313784,0.323415,0.355539,0.290015,0.279011,0.289031,0.296007,0.294208,0.27414,0.275796,0.294468,0,0,0,0,-9999,-9999
2.00312E+11,2.00312E+11,5.683,1,0,0,0,283.907,1,1.927,1,101.703,2,0,2,1.191,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.165,1,33.626,1,-43.119,1,8.73,2,9.78818,7.51443,12.6793,6.93336,-7.90323,1,-8.86119,-11.4785,-6.80278,9.96866,1,0.0403659,2,0.229539,0.0277143,0.0403659,0.0856429,2,2,2,0.328699,0.313091,0.322721,0.354805,0.282355,0.273608,0.280801,0.287738,0.29355,0.273466,0.275151,0.293805,0,0,0,0,-9999,-9999
2.00312E+11,2.00312E+11,5.683,1,0,0,0,283.907,1,1.927,1,101.718,2,0,2,1.162,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.165,1,33.626,1,-43.119,1,8.54455,2,9.60551,7.36016,12.4099,6.93336,-7.93173,1,-8.89315,-11.2997,-6.82731,9.96866,1,0.0410476,2,0.228111,0.0288611,0.0410476,0.0853509,2,2,2,0.328196,0.312604,0.322228,0.354328,0.281181,0.27353,0.279432,0.285591,0.293254,0.273124,0.274891,0.293486,0,0,0,0,-9999,-9999
2.00312E+11,2.00312E+11,5.683,1,0,0,0,283.907,1,1.927,1,101.733,2,0,2,1.133,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.165,1,33.626,1,-43.119,1,8.41176,2,9.43137,7.24051,11.9836,6.93336,-7.96,1,-8.92485,-11.34,-6.85165,9.96298,1,0.0411628,2,0.226682,0.0293243,0.0411628,0.0846724,2,2,2,0.327694,0.312118,0.321736,0.353851,0.280573,0.273879,0.279475,0.284196,0.292958,0.272783,0.274631,0.293168,0,0,0,0,-9999,-9999
2.00312E+11,2.00312E+11,5.683,1,0,0,0,283.907,1,1.927,1,101.748,2,0,2,1.104,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.165,1,33.626,1,-43.119,1,8.26214,2,9.28802,7.11171,11.7704,6.93336,-8.00398,1,-8.97416,-11.4027,-6.88951,9.90506,1,0.0412727,2,0.225801,0.0297632,0.0412727,0.0840169,2,2,2,0.327191,0.311632,0.321243,0.353374,0.27997,0.274195,0.278926,0.282572,0.292662,0.272441,0.274371,0.292849,0,0,0,0,-9999,-9999
2.00312E+11,2.00312E+11,5.683,1,0,0,0,283.907,1,1.927,1,101.763,2,0,2,1.075,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.165,1,33.626,1,-43.119,1,8.125,2,9.13386,6.99367,11.5751,6.93336,-8.03968,1,-9.03795,-11.4535,-6.92023,9.82826,1,0.0393556,2,0.224919,0.0278462,0.0393556,0.0818667,2,2,2,0.326689,0.311145,0.320751,0.352897,0.281395,0.276167,0.281091,0.28353,0.292366,0.2721,0.274111,0.292531,0,0,0,0,-9999,-9999
2.00312E+11,2.00312E+11,5.683,1,0,0,0,283.907,1,1.927,1,101.778,2,0,2,1.046,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.165,1,33.626,1,-43.119,1,7.99048,2,8.98263,6.87788,11.3834,6.29211,-8.06719,1,-9.06887,-11.4927,-6.94391,9.75146,1,0.0404783,2,0.223405,0.029425,0.0404783,0.0820164,2,2,2,0.326186,0.310659,0.320258,0.35242,0.27978,0.275576,0.279686,0.281425,0.29207,0.271759,0.273851,0.292212,0,0,0,0,-9999,-9999
2.00312E+11,2.00312E+11,5.683,1,0,0,0,283.907,1,1.927,1,101.799,2,0,2,1.137,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.165,1,33.626,1,-43.119,1,7.83962,2,8.81305,6.74803,11.1685,6.29211,-8.06719,1,-9.06887,-11.4927,-6.94391,9.75146,1,0.0372128,2,0.22189,0.0259512,0.0372128,0.078871,2,2,2,0.325684,0.310173,0.319765,0.351943,0.282553,0.278631,0.28242,0.284121,0.291774,0.271417,0.273591,0.291893,0,0,0,0,-9999,-9999
2.00312E+11,2.00312E+11,5.683,1,0,0,0,283.907,1,1.927,1,101.82,2,0,2,1.228,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.165,1,33.626,1,-43.119,1,7.70093,2,8.65714,6.62865,10.9709,6.29211,-8.07874,1,-9.08185,-11.5092,-6.95385,9.71714,1,0.0369167,2,0.221459,0.025881,0.0369167,0.0779841,2,2,2,0.325181,0.309687,0.319273,0.351466,0.282356,0.278357,0.282138,0.283637,0.291478,0.271076,0.273331,0.291575,0,0,0,0,-9999,-9999
2.00312E+11,2.00312E+11,5.683,1,0,0,0,283.907,1,1.927,1,101.842,2,0,2,1.319,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.165,1,33.626,1,-43.119,1,7.56481,2,8.50412,6.51149,10.777,6.29211,-8.09804,1,-9.10355,-11.5367,-6.97046,9.71714,1,0.037102,2,0.22189,0.0263488,0.037102,0.0774844,2,2,2,0.324679,0.3092,0.31878,0.350989,0.281678,0.277424,0.280835,0.282968,0.291182,0.270734,0.273071,0.291256,0,0,0,0,-9999,-9999
